file||src||doc_id||subdoc_id||texttype||balanced||src_file_or_url||words||chars||sentences
estonian_nc17.vert.01||NC||255||28042||periodicals||_||aja_EPL_2002_04_29.ma||108||689||6
estonian_nc17.vert.01||NC||255||28043||periodicals||_||aja_EPL_2002_04_29.ma||206||1637||9
estonian_nc17.vert.01||NC||255||28044||periodicals||_||aja_EPL_2002_04_29.ma||142||1053||8
estonian_nc17.vert.01||NC||255||28045||periodicals||_||aja_EPL_2002_04_29.ma||191||1268||11
estonian_nc17.vert.01||NC||255||28046||periodicals||_||aja_EPL_2002_04_29.ma||94||601||7
estonian_nc17.vert.01||NC||255||28047||periodicals||_||aja_EPL_2002_04_29.ma||18||79||1
estonian_nc17.vert.01||NC||255||28048||periodicals||_||aja_EPL_2002_04_29.ma||363||2483||22
estonian_nc17.vert.01||NC||255||28049||periodicals||_||aja_EPL_2002_04_29.ma||404||2719||24
estonian_nc17.vert.01||NC||255||28050||periodicals||_||aja_EPL_2002_04_29.ma||229||1650||11
estonian_nc17.vert.01||NC||255||28051||periodicals||_||aja_EPL_2002_04_29.ma||507||3046||32
estonian_nc17.vert.01||NC||255||28052||periodicals||_||aja_EPL_2002_04_29.ma||258||1694||15
estonian_nc17.vert.01||NC||255||28053||periodicals||_||aja_EPL_2002_04_29.ma||480||3077||32
estonian_nc17.vert.01||NC||255||28054||periodicals||_||aja_EPL_2002_04_29.ma||51||372||3
estonian_nc17.vert.01||NC||255||28055||periodicals||_||aja_EPL_2002_04_29.ma||4||29||1
estonian_nc17.vert.01||NC||255||28056||periodicals||_||aja_EPL_2002_04_29.ma||161||989||12
estonian_nc17.vert.01||NC||255||28057||periodicals||_||aja_EPL_2002_04_29.ma||11||68||1
estonian_nc17.vert.01||NC||255||28058||periodicals||_||aja_EPL_2002_04_29.ma||171||1154||10
estonian_nc17.vert.01||NC||255||28059||periodicals||_||aja_EPL_2002_04_29.ma||92||756||5
estonian_nc17.vert.01||NC||255||28060||periodicals||_||aja_EPL_2002_04_29.ma||129||862||6
estonian_nc17.vert.01||NC||255||28061||periodicals||_||aja_EPL_2002_04_29.ma||195||1259||9
estonian_nc17.vert.01||NC||255||28062||periodicals||_||aja_EPL_2002_04_29.ma||184||1190||14
estonian_nc17.vert.01||NC||255||28063||periodicals||_||aja_EPL_2002_04_29.ma||175||1192||10
estonian_nc17.vert.01||NC||255||28064||periodicals||_||aja_EPL_2002_04_29.ma||131||854||8
estonian_nc17.vert.01||NC||255||28065||periodicals||_||aja_EPL_2002_04_29.ma||131||796||9
estonian_nc17.vert.01||NC||255||28066||periodicals||_||aja_EPL_2002_04_29.ma||82||591||4
estonian_nc17.vert.01||NC||255||28067||periodicals||_||aja_EPL_2002_04_29.ma||309||2205||21
estonian_nc17.vert.01||NC||255||28068||periodicals||_||aja_EPL_2002_04_29.ma||18||121||1
estonian_nc17.vert.01||NC||255||28069||periodicals||_||aja_EPL_2002_04_29.ma||323||2397||19
estonian_nc17.vert.01||NC||255||28070||periodicals||_||aja_EPL_2002_04_29.ma||477||3172||24
estonian_nc17.vert.01||NC||255||28071||periodicals||_||aja_EPL_2002_04_29.ma||225||1884||13
estonian_nc17.vert.01||NC||255||28072||periodicals||_||aja_EPL_2002_04_29.ma||77||473||4
estonian_nc17.vert.01||NC||255||28073||periodicals||_||aja_EPL_2002_04_29.ma||125||820||9
estonian_nc17.vert.01||NC||255||28074||periodicals||_||aja_EPL_2002_04_29.ma||518||3732||24
estonian_nc17.vert.01||NC||255||28075||periodicals||_||aja_EPL_2002_04_29.ma||373||2219||27
estonian_nc17.vert.01||NC||255||28076||periodicals||_||aja_EPL_2002_04_29.ma||309||2141||16
estonian_nc17.vert.01||NC||255||28077||periodicals||_||aja_EPL_2002_04_29.ma||9||55||1
estonian_nc17.vert.01||NC||255||28078||periodicals||_||aja_EPL_2002_04_29.ma||216||1367||11
estonian_nc17.vert.01||NC||255||28079||periodicals||_||aja_EPL_2002_04_29.ma||11||84||1
estonian_nc17.vert.01||NC||255||28080||periodicals||_||aja_EPL_2002_04_29.ma||76||562||4
estonian_nc17.vert.01||NC||255||28081||periodicals||_||aja_EPL_2002_04_29.ma||23||173||1
estonian_nc17.vert.01||NC||255||28082||periodicals||_||aja_EPL_2002_04_29.ma||36||227||1
estonian_nc17.vert.01||NC||255||28083||periodicals||_||aja_EPL_2002_04_29.ma||19||150||1
estonian_nc17.vert.01||NC||255||28084||periodicals||_||aja_EPL_2002_04_29.ma||27||193||1
estonian_nc17.vert.01||NC||255||28085||periodicals||_||aja_EPL_2002_04_29.ma||26||196||1
estonian_nc17.vert.01||NC||255||28086||periodicals||_||aja_EPL_2002_04_29.ma||186||1287||10
estonian_nc17.vert.01||NC||255||28087||periodicals||_||aja_EPL_2002_04_29.ma||298||2147||18
estonian_nc17.vert.01||NC||255||28088||periodicals||_||aja_EPL_2002_04_29.ma||515||3483||34
estonian_nc17.vert.01||NC||255||28089||periodicals||_||aja_EPL_2002_04_29.ma||125||833||7
estonian_nc17.vert.01||NC||255||28090||periodicals||_||aja_EPL_2002_04_29.ma||275||1947||18
estonian_nc17.vert.01||NC||255||28091||periodicals||_||aja_EPL_2002_04_29.ma||130||973||7
estonian_nc17.vert.01||NC||255||28092||periodicals||_||aja_EPL_2002_04_29.ma||500||3720||31
estonian_nc17.vert.01||NC||255||28093||periodicals||_||aja_EPL_2002_04_29.ma||562||4000||39
estonian_nc17.vert.01||NC||255||28094||periodicals||_||aja_EPL_2002_04_29.ma||459||2819||27
estonian_nc17.vert.01||NC||255||28095||periodicals||_||aja_EPL_2002_04_29.ma||361||2157||21
estonian_nc17.vert.01||NC||255||28096||periodicals||_||aja_EPL_2002_04_29.ma||47||336||4
estonian_nc17.vert.01||NC||255||28097||periodicals||_||aja_EPL_2002_04_29.ma||238||1176||31
estonian_nc17.vert.01||NC||255||28098||periodicals||_||aja_EPL_2002_04_29.ma||558||3490||44
estonian_nc17.vert.01||NC||255||28099||periodicals||_||aja_EPL_2002_04_29.ma||151||1145||9
estonian_nc17.vert.01||NC||255||28100||periodicals||_||aja_EPL_2002_04_29.ma||160||1154||8
estonian_nc17.vert.01||NC||255||28101||periodicals||_||aja_EPL_2002_04_29.ma||400||2718||29
estonian_nc17.vert.01||NC||255||28102||periodicals||_||aja_EPL_2002_04_29.ma||377||2431||25
estonian_nc17.vert.01||NC||255||28103||periodicals||_||aja_EPL_2002_04_29.ma||547||3866||45
estonian_nc17.vert.01||NC||255||28104||periodicals||_||aja_EPL_2002_04_29.ma||87||579||7
estonian_nc17.vert.01||NC||255||28105||periodicals||_||aja_EPL_2002_04_29.ma||208||1326||11
estonian_nc17.vert.01||NC||255||28106||periodicals||_||aja_EPL_2002_04_29.ma||491||3039||36
estonian_nc17.vert.01||NC||277||30434||periodicals||_||aja_EPL_2002_10_25.ma||372||2687||13
estonian_nc17.vert.01||NC||277||30435||periodicals||_||aja_EPL_2002_10_25.ma||232||1645||9
estonian_nc17.vert.01||NC||277||30436||periodicals||_||aja_EPL_2002_10_25.ma||181||1239||9
estonian_nc17.vert.01||NC||277||30437||periodicals||_||aja_EPL_2002_10_25.ma||90||573||5
estonian_nc17.vert.01||NC||277||30438||periodicals||_||aja_EPL_2002_10_25.ma||191||1184||14
estonian_nc17.vert.01||NC||277||30439||periodicals||_||aja_EPL_2002_10_25.ma||347||2385||20
estonian_nc17.vert.01||NC||277||30440||periodicals||_||aja_EPL_2002_10_25.ma||159||1115||8
estonian_nc17.vert.01||NC||277||30441||periodicals||_||aja_EPL_2002_10_25.ma||109||786||7
estonian_nc17.vert.01||NC||277||30442||periodicals||_||aja_EPL_2002_10_25.ma||416||2618||24
estonian_nc17.vert.01||NC||277||30443||periodicals||_||aja_EPL_2002_10_25.ma||162||1028||11
estonian_nc17.vert.01||NC||277||30444||periodicals||_||aja_EPL_2002_10_25.ma||110||792||8
estonian_nc17.vert.01||NC||277||30445||periodicals||_||aja_EPL_2002_10_25.ma||52||337||3
estonian_nc17.vert.01||NC||277||30446||periodicals||_||aja_EPL_2002_10_25.ma||31||222||1
estonian_nc17.vert.01||NC||277||30447||periodicals||_||aja_EPL_2002_10_25.ma||107||750||7
estonian_nc17.vert.01||NC||277||30448||periodicals||_||aja_EPL_2002_10_25.ma||442||2942||22
estonian_nc17.vert.01||NC||277||30449||periodicals||_||aja_EPL_2002_10_25.ma||521||3085||32
estonian_nc17.vert.01||NC||277||30450||periodicals||_||aja_EPL_2002_10_25.ma||213||1413||11
estonian_nc17.vert.01||NC||277||30451||periodicals||_||aja_EPL_2002_10_25.ma||145||1101||8
estonian_nc17.vert.01||NC||277||30452||periodicals||_||aja_EPL_2002_10_25.ma||609||3822||35
